F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-3.819877747446298599e-11,-3.183231456205248833e-11,-3.547029336914420128e-11,-4.365574568510055542e-11,-3.819877747446298599e-11,-5.366018740460276604e-11,-5.093170329928398132e-11,-5.638867150992155075e-11,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.260000000000000000e+02
-6.615033313645653834e+00,-8.589294681301907985e+00,-6.793023608604016772e+00,-8.776607636971675674e+00,-2.281602459707301023e+01,-1.812381293658745562e+01,-5.112124296515503374e+00,-7.935126317645881500e+00,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.270000000000000000e+02
-1.678673865942073462e+01,-1.904715275329181168e+01,-1.546098800301297160e+01,-1.839790809116038872e+01,-4.027039672808678006e+01,-3.319667260241749318e+01,-1.089715296679059975e+01,-1.717977697454716690e+01,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.280000000000000000e+02
-3.123079765008333197e+01,-3.171820212154580076e+01,-2.630705619733998901e+01,-2.928026731447152997e+01,-5.165977493571153900e+01,-4.484662284275145794e+01,-1.774081730771922594e+01,-2.781615356997463095e+01,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.290000000000000000e+02
-4.750066658235573414e+01,-4.530162089020996063e+01,-3.779726089322412008e+01,-4.113117152935956256e+01,-6.094163133152233058e+01,-5.528281765824704053e+01,-2.561604817481838836e+01,-3.857042118955632759e+01,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.300000000000000000e+02
-6.228294997937246080e+01,-5.815819857534734183e+01,-4.777876175092751510e+01,-5.301947142571043514e+01,-7.234025777224360354e+01,-6.667642709647043375e+01,-3.416023080854029104e+01,-4.788138265084853629e+01,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.310000000000000000e+02
-7.403643549053049355e+01,-6.972976975524306908e+01,-5.512541286421492259e+01,-6.388817068526896037e+01,-8.631401632192410034e+01,-7.895539121644287661e+01,-4.286959020175436308e+01,-5.519390969131472957e+01,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.320000000000000000e+02
-8.368745338589360472e+01,-8.076157093382153107e+01,-6.051152033251491957e+01,-7.328804090999256005e+01,-9.992673567837027804e+01,-9.033010920977449132e+01,-5.133011319928391458e+01,-6.139504632367516024e+01,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.330000000000000000e+02
-9.318836917815769993e+01,-9.226001898493996123e+01,-6.585565606714772002e+01,-8.182150804231514485e+01,-1.107865884004168038e+02,-9.976887559749593493e+01,-5.942105799187265802e+01,-6.815801604773423605e+01,9.484992027282714844e+00,-6.501809358596801758e-01,-4.589512646198272705e-01,2.340000000000000000e+02
-1.036766610063368717e+02,-1.043225702427871511e+02,-7.305324949015175662e+01,-9.087338230452496646e+01,-1.200729301057199336e+02,-1.085691309488402112e+02,-6.742461020599148469e+01,-7.689770215239605022e+01,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.350000000000000000e+02
-1.149474834581133109e+02,-1.159864023692880437e+02,-8.298953933301436336e+01,-1.017089322711535715e+02,-1.314997131572408762e+02,-1.193101156431412164e+02,-7.593991022726277151e+01,-8.817811261504357390e+01,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.360000000000000000e+02
-1.263116323264057428e+02,-1.261663675415129546e+02,-9.533290704565661144e+01,-1.145399515162216630e+02,-1.475635109382137671e+02,-1.333904185058472649e+02,-8.552346094311451452e+01,-1.017612645641393101e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.370000000000000000e+02
-1.375893059213731249e+02,-1.347432593688208726e+02,-1.089155901083449862e+02,-1.282492464209799437e+02,-1.670567384541218416e+02,-1.497434595074391837e+02,-9.618989897687879420e+01,-1.168645236516213117e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.380000000000000000e+02
-1.492098358574230588e+02,-1.428319098849415241e+02,-1.222690451021280751e+02,-1.409883486096059642e+02,-1.861240188053989186e+02,-1.658686040767715895e+02,-1.071286220040301487e+02,-1.322146411493649794e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.390000000000000000e+02
-1.615497369699924093e+02,-1.520615620481748920e+02,-1.340680423013009204e+02,-1.512219354331336945e+02,-2.013823524619165255e+02,-1.798549614561516137e+02,-1.169661017172165884e+02,-1.460339340819818972e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.400000000000000000e+02
-1.743480035004395177e+02,-1.634967882265400476e+02,-1.434841509940988544e+02,-1.585439767460829898e+02,-2.119743283794614399e+02,-1.913524883297204724e+02,-1.245354550857255163e+02,-1.564446146135433082e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.410000000000000000e+02
-1.867209474165110805e+02,-1.769737392976185220e+02,-1.504714924355084804e+02,-1.638402994693033179e+02,-2.191768636113492903e+02,-2.009819418547440364e+02,-1.296791128631166430e+02,-1.624328763386192804e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.420000000000000000e+02
-1.975881297941177763e+02,-1.912046445228397715e+02,-1.558472780625479572e+02,-1.688256502342856038e+02,-2.248222988883762810e+02,-2.093833999842581761e+02,-1.334914251269983652e+02,-1.648004664292629968e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.430000000000000000e+02
-2.060916108099067969e+02,-2.044802594273796785e+02,-1.610128926519118977e+02,-1.752753299864734799e+02,-2.304432412016894887e+02,-2.171086721760311775e+02,-1.377869336811500034e+02,-1.662160859524983607e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.440000000000000000e+02
-2.118768840320626623e+02,-2.155418891624667594e+02,-1.673983683366650439e+02,-1.843038988655998764e+02,-2.374950672255899917e+02,-2.251418553171652093e+02,-1.441440590478596278e+02,-1.700171836821591569e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.450000000000000000e+02
-2.153153393831707945e+02,-2.241858739115241406e+02,-1.759197353264244157e+02,-1.959328708260709391e+02,-2.475132306878940653e+02,-2.348995666634164081e+02,-1.531589530796218241e+02,-1.784058758998580743e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.460000000000000000e+02
-2.175987828810702922e+02,-2.313315847849453348e+02,-1.866912252351667121e+02,-2.090941584288202648e+02,-2.613911601243871701e+02,-2.472698719100080780e+02,-1.643231620812339315e+02,-1.912364482616685564e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.470000000000000000e+02
-2.204637409171164109e+02,-2.385549027173847207e+02,-1.990151001297454059e+02,-2.221254963184419466e+02,-2.783731173256992406e+02,-2.615961038715386167e+02,-1.764507461407511073e+02,-2.062247544086385460e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.480000000000000000e+02
-2.255029410735728561e+02,-2.473464270679360197e+02,-2.115390495737228775e+02,-2.336062060425329037e+02,-2.960060518010614032e+02,-2.758375135176192998e+02,-1.882497949748030805e+02,-2.203731399116286411e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.490000000000000000e+02
-2.334859088690004683e+02,-2.584895361952630992e+02,-2.225567793274794894e+02,-2.430995546334143000e+02,-3.113899570626563218e+02,-2.879854945943870916e+02,-1.986883553824918636e+02,-2.315776742705884317e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.500000000000000000e+02
-2.442185431132852500e+02,-2.718251231767626450e+02,-2.305436438577257832e+02,-2.512912129681380975e+02,-3.227418695478245354e+02,-2.974826987353080767e+02,-2.070975579112373453e+02,-2.393796182655169105e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.510000000000000000e+02
-2.569951981069307294e+02,-2.863920910139540865e+02,-2.348883630126997559e+02,-2.593489677599827701e+02,-3.300649553702933190e+02,-3.053715481088265733e+02,-2.131535986711351143e+02,-2.445711737309793534e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.520000000000000000e+02
-2.711353989882754831e+02,-3.007492748082795515e+02,-2.364680330186843094e+02,-2.679060206309432033e+02,-3.346370692237023832e+02,-3.131222681751096388e+02,-2.168631030555188772e+02,-2.482112141529814835e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.530000000000000000e+02
-2.860691351787208987e+02,-3.133100175951763049e+02,-2.375491104174921020e+02,-2.764206273613212943e+02,-3.380222598236086924e+02,-3.212916514499174809e+02,-2.185592082264242890e+02,-2.508820980820373734e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.540000000000000000e+02
-3.009977268145785274e+02,-3.226771023766532380e+02,-2.407985787852016983e+02,-2.834445393982550740e+02,-3.414054197318728257e+02,-3.291551167216666727e+02,-2.188603716706656996e+02,-2.526279906198396930e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.550000000000000000e+02
-3.146729819045494878e+02,-3.280225941913204224e+02,-2.478384210870608513e+02,-2.876461524087330872e+02,-3.454598272440025539e+02,-3.354532129886965777e+02,-2.185822415434649884e+02,-2.534100559141393205e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.560000000000000000e+02
-3.257089362398173762e+02,-3.294379009086965198e+02,-2.582385608680160658e+02,-2.888318188304647265e+02,-3.504960325121828646e+02,-3.394794462111667599e+02,-2.186164632808854549e+02,-2.535735581373851346e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.570000000000000000e+02
-3.332215528460842506e+02,-3.280485967763056578e+02,-2.696681485934809643e+02,-2.881860030120615193e+02,-3.566219432783500451e+02,-3.416378084216703428e+02,-2.197498405883948180e+02,-2.539520418875913492e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.580000000000000000e+02
-3.372136429817255703e+02,-3.257289225296731274e+02,-2.791635826068691131e+02,-2.875542584221539073e+02,-3.638437139346942786e+02,-3.431922272583105951e+02,-2.223999377455529611e+02,-2.555978790808990198e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.590000000000000000e+02
-3.383783167170354318e+02,-3.244865474394296143e+02,-2.847118761262322550e+02,-2.883519046585079195e+02,-3.720902706620499885e+02,-3.455351516134396661e+02,-2.263713349867280158e+02,-2.593599743698382554e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.600000000000000000e+02
-3.375676205440850026e+02,-3.257846239461150617e+02,-2.861499356137514951e+02,-2.909293852541673004e+02,-3.810865649707502598e+02,-3.494872616159909740e+02,-2.308495173818159856e+02,-2.655217433541724859e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.610000000000000000e+02
-3.354677607366484153e+02,-3.300869446169685943e+02,-2.849096336861566670e+02,-2.948089637353732542e+02,-3.901403885741174236e+02,-3.550114952696176260e+02,-2.347671222469712120e+02,-2.736044339314144054e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.620000000000000000e+02
-3.327430256759689655e+02,-3.367790649169810422e+02,-2.829398337817460742e+02,-2.994595039620739954e+02,-3.981106554115817744e+02,-3.614196995823203906e+02,-2.373626012544727928e+02,-2.823953928499468020e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.630000000000000000e+02
-3.303956199451899920e+02,-3.444739956550924944e+02,-2.816258777812599874e+02,-3.048369628912960252e+02,-4.037974151538719525e+02,-3.678815041148282035e+02,-2.385300673829278821e+02,-2.902509202461983477e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.640000000000000000e+02
-3.298688006077154569e+02,-3.516199160735914120e+02,-2.813994039350614003e+02,-3.111931395969863843e+02,-4.066094163049092458e+02,-3.738605687660933654e+02,-2.386918878996448257e+02,-2.956535395586297454e+02,9.484992027282714844e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.650000000000000000e+02
-3.326770806133649785e+02,-3.572179517419585864e+02,-2.821368702749914519e+02,-3.183891762670405114e+02,-4.069912903035669842e+02,-3.791737167311625853e+02,-2.383691155730252831e+02,-2.978371444246226929e+02,9.446745872497558594e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.660000000000000000e+02
-3.397149393016761678e+02,-3.612985493417959333e+02,-2.838446119043860563e+02,-3.254613490968617953e+02,-4.062282450132720442e+02,-3.837150790503742428e+02,-2.379184929267162261e+02,-2.971577728398724503e+02,9.446745872497558594e+00,-6.119350194931030273e-01,-4.207052886486053467e-01,2.670000000000000000e+02
