F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-5.547917680814862251e-11,-6.002665031701326370e-11,-6.002665031701326370e-11,-6.730260793119668961e-11,-6.184563972055912018e-11,-5.093170329928398132e-11,-5.093170329928398132e-11,-4.001776687800884247e-11,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.510000000000000000e+02
-2.312585287462843553e+01,-1.104697483319432649e+01,-1.414165140536533727e+01,-1.178643181060942879e+01,-4.327478282561241940e+01,-3.013608913054667937e+01,-2.411586992090451531e+01,-1.559520972314021492e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.520000000000000000e+02
-4.206056281481232872e+01,-2.393912041864314233e+01,-2.434740924108336912e+01,-1.969608278795749357e+01,-7.248083049979504722e+01,-5.351628459608764388e+01,-3.849804464989938424e+01,-2.684543290868714394e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.530000000000000000e+02
-5.609212933484650421e+01,-3.908970883802430762e+01,-2.998796348495852726e+01,-2.338700880280521233e+01,-8.520875881538813701e+01,-6.880174448196521553e+01,-4.148319159578204562e+01,-3.281383174344227882e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.540000000000000000e+02
-6.811051496415257134e+01,-5.527116988385387231e+01,-3.388026804830042238e+01,-2.609065680492494721e+01,-9.117142447921833082e+01,-8.045261489140102640e+01,-3.980816474781204306e+01,-3.620396300509673893e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.550000000000000000e+02
-8.148120667927560135e+01,-7.069921127287307172e+01,-3.931045042711957649e+01,-3.127765313533200242e+01,-1.017900190806522005e+02,-9.407921038879794651e+01,-4.142152102837280836e+01,-4.042854064319908503e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.560000000000000000e+02
-9.697670833655683964e+01,-8.435728215093877225e+01,-4.701749501720587432e+01,-3.942122954956357717e+01,-1.198961265877314872e+02,-1.115519654677718790e+02,-4.834803780984293553e+01,-4.654358422934456030e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.570000000000000000e+02
-1.127125552499473997e+02,-9.646645906038247631e+01,-5.500346033250752953e+01,-4.796687578003729868e+01,-1.393549707368838426e+02,-1.303672874095937004e+02,-5.637866917631254182e+01,-5.289106299695959024e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.580000000000000000e+02
-1.266887941903451065e+02,-1.079491423661493172e+02,-6.098402329124655807e+01,-5.414429597824164375e+01,-1.534120225783917704e+02,-1.471056771108560497e+02,-6.077128396649277420e+01,-5.732637413800694048e+01,9.408499717712402344e+00,-3.824593871831893921e-02,5.354431271553039551e-01,2.590000000000000000e+02
-1.389507748002197332e+02,-1.196188555520948285e+02,-6.474608812648148159e+01,-5.751221270579662814e+01,-1.620160598269503680e+02,-1.609205643540462916e+02,-6.128373312784788141e+01,-5.946960044648767507e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.600000000000000000e+02
-1.512008286346708701e+02,-1.318050082079316780e+02,-6.814270415584906004e+01,-5.985627207818652096e+01,-1.708840051285351365e+02,-1.737043150364261237e+02,-6.161045531617855886e+01,-6.085978392256220104e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.610000000000000000e+02
-1.646428183166817689e+02,-1.444453378452135439e+02,-7.310311509086932347e+01,-6.306280341843194037e+01,-1.846730024937241978e+02,-1.875132391969073069e+02,-6.483191083695783163e+01,-6.331192625261610374e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.620000000000000000e+02
-1.786240535200950035e+02,-1.572433403779723449e+02,-7.989995932083184016e+01,-6.746401797409362189e+01,-2.023562391749692324e+02,-2.024634732845970575e+02,-7.034248491854668828e+01,-6.744521651149807440e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.630000000000000000e+02
-1.914783205970252311e+02,-1.696998357824568302e+02,-8.727051274421501148e+01,-7.215749470077389560e+01,-2.192689019363479019e+02,-2.171708044194838294e+02,-7.523559225947792584e+01,-7.272100673349086719e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.640000000000000000e+02
-2.024528856687893494e+02,-1.812339914666954428e+02,-9.388702597075644007e+01,-7.645832916061863216e+01,-2.325267385963543347e+02,-2.307162806397645909e+02,-7.789025102738196438e+01,-7.850069784494007763e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.650000000000000000e+02
-2.125460909367820932e+02,-1.915775460165004915e+02,-9.948948049504542723e+01,-8.066135246394969727e+01,-2.435290088736837788e+02,-2.436878449392970651e+02,-7.954794347620918415e+01,-8.474700489491624467e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.660000000000000000e+02
-2.234537960570878568e+02,-2.011909710410045591e+02,-1.047308718797194160e+02,-8.545682404369290452e+01,-2.554709660592379805e+02,-2.573252439195475745e+02,-8.254321631758830335e+01,-9.174193845951413095e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.670000000000000000e+02
-2.358476533787488734e+02,-2.111887667526652876e+02,-1.102602341825149779e+02,-9.097102109801835468e+01,-2.694946559805775905e+02,-2.720297458843488130e+02,-8.766267829324351624e+01,-9.939953617927312735e+01,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.680000000000000000e+02
-2.487574790321059481e+02,-2.226312032735695539e+02,-1.161341501650877035e+02,-9.662436853220788180e+01,-2.838645558945554512e+02,-2.869774694314255612e+02,-9.357562626253638882e+01,-1.070413096344473161e+02,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.690000000000000000e+02
-2.605239052389788412e+02,-2.357085374869002408e+02,-1.219911273109100875e+02,-1.018522857661228045e+02,-2.964454132020709949e+02,-3.010914558643380587e+02,-9.852809787011574372e+01,-1.138185848865450680e+02,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.700000000000000000e+02
-2.702494029705267167e+02,-2.495459328436909345e+02,-1.275352152399646002e+02,-1.067285015120523894e+02,-3.071157109008054249e+02,-3.141253657245470094e+02,-1.020933096518983803e+02,-1.192746778065093167e+02,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.710000000000000000e+02
-2.784026804501272636e+02,-2.628279354334526943e+02,-1.327268871816422688e+02,-1.117754575208509777e+02,-3.174828822885247064e+02,-3.267197859588704887e+02,-1.051838008135473501e+02,-1.235495599885634874e+02,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.720000000000000000e+02
-2.862400382331134097e+02,-2.746894983759530078e+02,-1.376204461259994787e+02,-1.172598486205515655e+02,-3.287411832583484284e+02,-3.395641760630514909e+02,-1.087484602821059525e+02,-1.271909403081799610e+02,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.730000000000000000e+02
-2.947827179190044262e+02,-2.851187841601313266e+02,-1.421875969162447291e+02,-1.227879897240090941e+02,-3.403673634642937031e+02,-3.526478216252507991e+02,-1.127999427956392537e+02,-1.307921186337207473e+02,9.446745872497558594e+00,-7.649187743663787842e-02,5.736890435218811035e-01,2.740000000000000000e+02
