F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-6.002665031701326370e-11,-2.182787284255027771e-11,-6.639311322942376137e-11,-5.820766091346740723e-11,-4.729372449219226837e-11,-4.547473508864641190e-11,-3.092281986027956009e-11,-3.637978807091712952e-11,9.484992027282714844e+00,-1.338607788085937500e+00,-1.529837548732757568e-01,2.260000000000000000e+02
3.817446059826579585e+00,3.251328048301729723e+00,1.875141009305025364e+01,2.930061659026432608e+01,3.146713137534970883e+01,3.175487403591250768e+01,7.548407433097963803e+00,4.823006797272682888e+00,9.484992027282714844e+00,-1.338607788085937500e+00,-1.529837548732757568e-01,2.270000000000000000e+02
3.255717404114875535e+00,3.631228398557141190e+00,2.918337696285379934e+01,4.698677500867233903e+01,4.302596913815796142e+01,4.834232970181619748e+01,1.382588005772777251e+01,7.180907735439177486e+00,9.484992027282714844e+00,-1.338607788085937500e+00,-1.529837548732757568e-01,2.280000000000000000e+02
-2.688704263654472015e+00,3.634767382027348503e-02,2.958770875538630207e+01,5.162450574218564725e+01,3.097577163691858004e+01,4.774821584850906220e+01,1.783044640896514466e+01,6.335720112543640425e+00,9.484992027282714844e+00,-1.338607788085937500e+00,-1.529837548732757568e-01,2.290000000000000000e+02
-1.143545730932964943e+01,-6.423333787175579346e+00,2.520207623430906096e+01,5.214320090486944537e+01,8.718346009403830976e+00,4.129663667753993650e+01,1.922128884301764629e+01,3.548581926947917964e+00,9.484992027282714844e+00,-1.338607788085937500e+00,-1.529837548732757568e-01,2.300000000000000000e+02
-1.966984343195144902e+01,-1.345696280199354078e+01,2.254691521019958600e+01,5.843853464482890558e+01,-7.342704313683498185e+00,4.147698404081165791e+01,1.866879550642897811e+01,8.453330497004571953e-01,9.484992027282714844e+00,-1.338607788085937500e+00,-1.529837548732757568e-01,2.310000000000000000e+02
-2.616778133649586380e+01,-1.909113239090402203e+01,2.392916820944446954e+01,7.237779881834831031e+01,-1.202737628001523262e+01,5.046116505555437470e+01,1.777552747971367353e+01,-4.480394255733699538e-01,9.484992027282714844e+00,-1.338607788085937500e+00,-1.529837548732757568e-01,2.320000000000000000e+02
-3.196730045145068289e+01,-2.250168461194061820e+01,2.723233926652665104e+01,8.786042936545709381e+01,-1.245532109471787408e+01,6.048519209025471355e+01,1.839663348254998709e+01,-1.746150405906519154e-01,9.446745872497558594e+00,-1.415099620819091797e+00,-3.059675097465515137e-01,2.330000000000000000e+02
-3.832240718590128381e+01,-2.391161071172882657e+01,2.991604013015330565e+01,9.854649438496016955e+01,-1.738351720682021551e+01,6.405080374954013678e+01,2.165764213839975127e+01,1.219375086999207269e+00,9.446745872497558594e+00,-1.415099620819091797e+00,-3.059675097465515137e-01,2.340000000000000000e+02
-4.503985292379275052e+01,-2.408689853709802264e+01,3.199320923393952398e+01,1.043209402084521571e+02,-2.755639455563505180e+01,6.211830526970516075e+01,2.733645178744154691e+01,3.375823387804302911e+00,9.446745872497558594e+00,-1.415099620819091797e+00,-3.059675097465515137e-01,2.350000000000000000e+02
