F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-4.638422979041934013e-11,-3.547029336914420128e-11,-4.456524038687348366e-11,-4.638422979041934013e-11,-5.820766091346740723e-11,-4.547473508864641190e-11,-1.728039933368563652e-11,-4.274625098332762718e-11,9.446745872497558594e+00,-1.262115836143493652e+00,-3.824593424797058105e-01,2.010000000000000000e+02
-4.555060779775885749e-01,2.623722849412843061e+00,1.637792914732472127e+01,2.025848536479861650e+01,1.886267462184696342e+01,1.363944374507809698e+01,1.502757066872163705e+01,1.145674824674460979e+01,9.446745872497558594e+00,-1.262115836143493652e+00,-3.824593424797058105e-01,2.020000000000000000e+02
-5.259390820047883608e+00,2.635007826395849406e+00,2.456456160822745005e+01,3.473860344327385974e+01,2.672354630132576858e+01,2.169139458560493949e+01,2.677452466422073485e+01,1.963821862745680846e+01,9.446745872497558594e+00,-1.262115836143493652e+00,-3.824593424797058105e-01,2.030000000000000000e+02
-1.463100829359245836e+01,-2.533338914736305014e-01,2.294189034579449071e+01,4.221739958229136391e+01,2.171008953817909060e+01,2.322362297846120782e+01,3.393911666427811724e+01,2.259201310925800499e+01,9.446745872497558594e+00,-1.262115836143493652e+00,-3.824593424797058105e-01,2.040000000000000000e+02
-2.484703169522163080e+01,-4.048137394409422996e+00,1.681537386290710856e+01,4.633911521355639707e+01,1.140970113329785818e+01,2.186932330701347382e+01,3.751930456751051679e+01,2.024628081020182435e+01,9.446745872497558594e+00,-1.262115836143493652e+00,-3.824593424797058105e-01,2.050000000000000000e+02
-3.228318645089984784e+01,-6.803765152048072196e+00,1.267112788257327338e+01,5.168776423221879668e+01,4.687525775654648896e+00,2.135529912654419604e+01,3.936980573497294245e+01,1.403833295502499823e+01,9.446745872497558594e+00,-1.262115836143493652e+00,-3.824593424797058105e-01,2.060000000000000000e+02
-3.675623502413873211e+01,-8.826404681472013181e+00,1.238542674025848100e+01,5.961823236688815086e+01,3.648697062785686285e+00,2.155331574802949035e+01,4.044031493688180490e+01,6.031898743774945615e+00,9.446745872497558594e+00,-1.262115836143493652e+00,-3.824593424797058105e-01,2.070000000000000000e+02
-4.068240707835047942e+01,-1.256577468002433307e+01,1.287806864541926188e+01,6.765592232890958257e+01,3.470112369906928507e+00,1.911181934730302601e+01,4.024188103452979703e+01,-1.942941872344817966e+00,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.080000000000000000e+02
-4.543588386825467751e+01,-2.040329425554318732e+01,1.067162372600432718e+01,7.239735603703138622e+01,-9.237007193778481451e-01,1.159272777485057304e+01,3.779446331796680170e+01,-8.830304689587137545e+00,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.090000000000000000e+02
-4.938827107467659516e+01,-3.251935298031366983e+01,5.970272069221209676e+00,7.261691754996627424e+01,-9.187375667763262754e+00,4.408029311671270989e-01,3.296645873435045360e+01,-1.449164480556282797e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.100000000000000000e+02
-4.998146659307167283e+01,-4.667876385088129609e+01,2.110335120374656981e+00,6.981090862948531139e+01,-1.667009604169379600e+01,-1.022552581749914680e+01,2.696815988543585263e+01,-1.943841183401764283e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.110000000000000000e+02
-4.740610596581973368e+01,-5.978678394630151161e+01,1.583260704852364142e+00,6.645270289879317716e+01,-2.022985237309876538e+01,-1.734455311268902733e+01,2.171091467593760171e+01,-2.424133128433641104e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.120000000000000000e+02
-4.547297293198425905e+01,-6.961012896604279376e+01,3.272278916829236550e+00,6.428722267132980051e+01,-2.182204862660455547e+01,-2.105679583650726272e+01,1.871130463038389280e+01,-2.892930877325670735e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.130000000000000000e+02
-4.835222926255664788e+01,-7.543363836750722839e+01,3.691175088483760192e+00,6.411075497734509554e+01,-2.608854735144450387e+01,-2.339696120719145256e+01,1.837512885015348729e+01,-3.286745677518320008e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.140000000000000000e+02
-5.647320417781247670e+01,-7.776798391872125649e+01,5.196769105232306174e-01,6.638501100822304579e+01,-3.503222120131067641e+01,-2.554430539870281791e+01,2.000495534921719809e+01,-3.528061330310811172e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.150000000000000000e+02
-6.585283606650045840e+01,-7.787575142336299905e+01,-5.340056946626646095e+00,7.136794700824702886e+01,-4.570060421323796618e+01,-2.677931265171173436e+01,2.239087628876905001e+01,-3.593261246099609707e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.160000000000000000e+02
-7.158066888568828290e+01,-7.743224935392572661e+01,-1.092525635414403951e+01,7.859408923376668099e+01,-5.310129736168073578e+01,-2.587881055402522179e+01,2.459944067597189132e+01,-3.526071177493486175e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.170000000000000000e+02
-7.196691040947098372e+01,-7.801613886274299148e+01,-1.389784241440611368e+01,8.673252973574562930e+01,-5.489796223609937442e+01,-2.285621092048313585e+01,2.654168067643558970e+01,-3.379261657874576485e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.180000000000000000e+02
-6.947371183262021077e+01,-8.032620976712314587e+01,-1.402690562638872507e+01,9.440920937888313347e+01,-5.305865248335703654e+01,-1.898913755702142225e+01,2.895160037710820689e+01,-3.151723559371930605e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.190000000000000000e+02
-6.804275994884392276e+01,-8.372038571827670239e+01,-1.258477957446484652e+01,1.011996152734536736e+02,-5.134595114027069940e+01,-1.544688740245419467e+01,3.267981171482097125e+01,-2.803303790735844814e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.200000000000000000e+02
-6.983319434173336049e+01,-8.676361648911279190e+01,-1.095249659208820958e+01,1.076060451036246377e+02,-5.177648918930208310e+01,-1.243516925571657339e+01,3.771286092746368013e+01,-2.348650851331694867e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.210000000000000000e+02
-7.437262030278725433e+01,-8.859480611742583278e+01,-9.971081669918021362e+00,1.139771746193091531e+02,-5.361514373303089087e+01,-9.852405852938318276e+00,4.270745242141674680e+01,-1.934314307876502426e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.220000000000000000e+02
-8.017078739788030362e+01,-8.992883022692512895e+01,-1.016301602687417471e+01,1.196524990878269818e+02,-5.524012721991584840e+01,-8.357776056922375574e+00,4.560801408070392426e+01,-1.796232339282141766e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.230000000000000000e+02
-8.646122858155376889e+01,-9.264840869223280606e+01,-1.194374852101009310e+01,1.234047947225653843e+02,-5.634671313821309013e+01,-9.252863997061467671e+00,4.505165895083064242e+01,-2.103936900720691483e+01,9.446745872497558594e+00,-1.300361871719360352e+00,-2.677215635776519775e-01,2.240000000000000000e+02
