F3,F4,C3,C4,P3,P4,Cz,Pz,Accel_x,Accel_y,Accel_z,Sample
-3.183231456205248833e-11,-5.002220859751105309e-11,-3.547029336914420128e-11,-5.275069270282983780e-11,-4.820321919396519661e-11,-5.638867150992155075e-11,-4.365574568510055542e-11,-4.729372449219226837e-11,9.446745872497558594e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.260000000000000000e+02
-1.363391161953313713e+01,-7.772662308846520318e+00,-4.881364201241012779e+00,-6.523922714141008328e+00,-2.417708212315301353e+01,-1.833913456176742329e+01,-6.394257222710621136e+00,-7.560293342039585696e-01,9.446745872497558594e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.270000000000000000e+02
-2.687104217133128259e+01,-1.858558616778373107e+01,-1.159997011478844797e+01,-1.130217616234585876e+01,-4.282497820886146656e+01,-3.022179833390691783e+01,-1.292221412127037183e+01,-4.377269887365400791e+00,9.446745872497558594e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.280000000000000000e+02
-3.962828345918933337e+01,-3.262453479670057277e+01,-2.017125086393116362e+01,-1.441178302442949644e+01,-5.496051878604248486e+01,-3.489178635840107745e+01,-1.940016085713250504e+01,-1.145096244065280189e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.290000000000000000e+02
-5.211607749309132487e+01,-4.722548106558133441e+01,-2.876363255073283653e+01,-1.761910445268767944e+01,-6.428397420464716561e+01,-3.737512374452307995e+01,-2.549683167219336610e+01,-2.012758209898584028e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.300000000000000000e+02
-6.453452265048144909e+01,-5.962006567378557520e+01,-3.542668008945202018e+01,-2.247032975373804220e+01,-7.508272064275843150e+01,-4.315927769459631236e+01,-3.124613045353908092e+01,-2.804402437801036285e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.310000000000000000e+02
-7.683130650855582644e+01,-6.954224702351984888e+01,-3.981256890286385897e+01,-2.870271696651889215e+01,-8.827099170510518888e+01,-5.309431972360471264e+01,-3.723924177106619027e+01,-3.428756648904163740e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.320000000000000000e+02
-8.877603750594789744e+01,-7.914871922700876894e+01,-4.326258255672291853e+01,-3.463351835664161626e+01,-1.013688710123333294e+02,-6.346177575420733774e+01,-4.410339179676520871e+01,-3.955635612975493132e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.330000000000000000e+02
-1.002271891283389778e+02,-9.059626669774752372e+01,-4.738712968505296885e+01,-3.897015476472915907e+01,-1.118108305571495293e+02,-7.049188918899380951e+01,-5.167555326745059574e+01,-4.471945576273901679e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.340000000000000000e+02
-1.112715978644237111e+02,-1.039035061609374679e+02,-5.269524137042844814e+01,-4.201906562237491016e+01,-1.196925862001335190e+02,-7.421561797495814972e+01,-5.875407164714397368e+01,-4.959476542347510986e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.350000000000000000e+02
-1.221019596494725192e+02,-1.171283889216047100e+02,-5.855363338550705521e+01,-4.510930462515079853e+01,-1.272752839004788257e+02,-7.787252669559711649e+01,-6.387596332957582490e+01,-5.329466684597809945e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.360000000000000000e+02
-1.328044346189999487e+02,-1.283399374127757255e+02,-6.425689141217117140e+01,-4.906796385176585318e+01,-1.364067917163620223e+02,-8.417194943075992342e+01,-6.655812219746621849e+01,-5.562887333537764789e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.370000000000000000e+02
-1.432986672127408383e+02,-1.371908821333663582e+02,-6.993186622864504898e+01,-5.349729334818584903e+01,-1.470294122011837317e+02,-9.276277976905839751e+01,-6.791234395267838408e+01,-5.791007049066138279e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.380000000000000000e+02
-1.534528436350337870e+02,-1.447035807116999422e+02,-7.636456852754417923e+01,-5.751792005066454294e+01,-1.581744269677938064e+02,-1.013364456391882413e+02,-7.001040077932702843e+01,-6.220211610526621371e+01,9.484992027282714844e+00,-2.294756323099136353e-01,-3.824593871831893921e-02,2.390000000000000000e+02
